dateStr time radId
20120402 630 33.0
20120402 630 205.0
20120402 630 32.0
20120402 630 206.0
20120402 630 204.0
20120402 630 207.0
20120403 430 32.0
20120403 430 204.0
20120403 430 207.0
20120403 430 33.0
20120403 430 205.0
20120403 600 33.0
20120403 600 32.0
20120403 600 206.0
20120403 600 207.0
20120405 600 33.0
20120405 600 205.0
20120405 600 206.0
20120405 600 207.0
20120405 600 204.0
20120405 630 33.0
20120405 630 205.0
20120405 630 32.0
20120405 630 206.0
20120405 630 204.0
20120405 630 207.0
20120405 700 33.0
20120405 700 207.0
20120405 700 206.0
20120405 700 204.0
20120405 730 207.0
20120405 730 33.0
20120405 730 205.0
20120405 730 32.0
20120405 730 204.0
20120407 700 207.0
20120407 700 33.0
20120407 700 205.0
20120407 700 32.0
20120407 700 206.0
20120407 700 204.0
20120412 700 33.0
20120412 700 204.0
20120412 700 207.0
20120412 700 206.0
20120413 0 204.0
20120413 0 205.0
20120413 0 207.0
20120413 0 33.0
20120413 0 32.0
20120413 500 32.0
20120413 500 206.0
20120413 500 207.0
20120413 500 204.0
20120413 500 205.0
20120413 500 33.0
20120413 530 33.0
20120413 530 205.0
20120413 530 32.0
20120413 530 206.0
20120413 530 204.0
20120413 530 207.0
20120413 600 33.0
20120413 600 205.0
20120413 600 32.0
20120413 600 206.0
20120413 600 207.0
20120413 600 204.0
20120413 700 205.0
20120413 700 207.0
20120413 700 206.0
20120413 700 204.0
20120414 330 32.0
20120414 330 204.0
20120414 330 205.0
20120414 330 207.0
20120414 330 33.0
20120414 430 32.0
20120414 430 204.0
20120414 430 33.0
20120414 430 205.0
20120414 500 206.0
20120414 500 204.0
20120414 500 207.0
20120414 500 205.0
20120417 830 204.0
20120417 830 206.0
20120417 830 207.0
20120417 830 33.0
20120417 830 205.0
20120420 630 33.0
20120420 630 205.0
20120420 630 206.0
20120420 630 204.0
20120420 630 207.0
20120420 700 33.0
20120420 700 207.0
20120420 700 32.0
20120420 700 205.0
20120420 700 206.0
20120420 700 204.0
20120420 730 207.0
20120420 730 33.0
20120420 730 205.0
20120420 730 32.0
20120420 730 206.0
20120420 800 204.0
20120420 800 33.0
20120420 800 207.0
20120420 800 205.0
20120420 800 206.0
20120423 630 33.0
20120423 630 205.0
20120423 630 207.0
20120423 630 206.0
20120423 630 204.0
20120423 700 33.0
20120423 700 207.0
20120423 700 206.0
20120423 700 204.0
20120423 800 204.0
20120423 800 207.0
20120423 800 33.0
20120423 800 205.0
20120423 800 206.0
20120424 0 206.0
20120424 0 204.0
20120424 0 205.0
20120424 0 207.0
20120424 30 207.0
20120424 30 204.0
20120424 30 205.0
20120424 30 33.0
20120424 100 206.0
20120424 100 204.0
20120424 100 207.0
20120424 100 205.0
20120424 100 33.0
20120424 100 32.0
20120424 130 206.0
20120424 130 207.0
20120424 130 204.0
20120424 130 33.0
20120424 130 205.0
20120424 130 32.0
20120424 200 206.0
20120424 200 207.0
20120424 200 33.0
20120424 200 32.0
20120424 230 206.0
20120424 230 207.0
20120424 230 204.0
20120424 230 33.0
20120424 230 205.0
20120424 230 32.0
20120424 300 206.0
20120424 300 207.0
20120424 300 204.0
20120424 300 33.0
20120424 300 205.0
20120424 330 206.0
20120424 330 207.0
20120424 330 204.0
20120424 330 33.0
20120424 330 205.0
20120424 530 205.0
20120424 530 206.0
20120424 530 204.0
20120424 530 207.0
20120425 130 207.0
20120425 130 33.0
20120425 130 204.0
20120425 130 205.0
20120425 130 32.0
20120425 200 204.0
20120425 200 207.0
20120425 200 205.0
20120425 200 32.0
20120425 230 206.0
20120425 230 207.0
20120425 230 204.0
20120425 230 205.0
20120425 230 33.0
20120425 300 206.0
20120425 300 204.0
20120425 300 207.0
20120425 300 205.0
20120425 300 32.0
20120425 330 206.0
20120425 330 207.0
20120425 330 204.0
20120425 330 205.0
20120425 330 32.0
20120426 200 207.0
20120426 200 204.0
20120426 200 205.0
20120426 200 33.0
20120426 200 32.0
20120426 230 206.0
20120426 230 204.0
20120426 230 207.0
20120426 230 33.0
20120426 230 205.0
20120426 230 32.0
20120426 300 206.0
